company_name	industry_large_code	industry_large_name	industry_mid_code	industry_mid_name
우리은행	I15	금융 – 은행·저축은행	I15-1	시중·지방·인터넷은행
우아한청년들	I07	물류·운송·해운·항공	I07-2	택배·3PL·창고·라스트마일 물류
위대한상상	I11	이커머스·플랫폼 커머스·O2O	I11-2	배달·모빌리티·여행·티켓·숙박 O2O 플랫폼
이노션	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
지마켓	I11	이커머스·플랫폼 커머스·O2O	I11-1	종합이커머스·마켓플레이스·D2C커머스
캐롯손해보험	I17	금융 – 보험	I17-2	손해보험·재보험·보험서비스
펄어비스	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
포스코인재창조원	I20	교육·출판·전문서비스·B2B·비영리	I20-1	교육·에듀테크·출판·교육콘텐츠
하나카드	I18	금융 – 카드·캐피탈·핀테크·지주	I18-1	카드·캐피탈·리스·할부·대부
한화시스템	I05	기계·중공업·장비	I05-2	중공업·조선·방산·항공우주·중장비
현대엘앤씨	I02	소재·화학·금속	I02-2	철강·비철금속·금속가공
현대이지웰	I20	교육·출판·전문서비스·B2B·비영리	I20-2	회계·법률·컨설팅·연구·HR·BPO·시설관리·협회·NGO
지에스리테일	I10	리테일·오프라인 유통·호텔·레저	I10-1	오프라인리테일·마트·편의점·전문점·프랜차이즈
지에스에너지	I01	에너지·유틸리티	I01-2	정유·연료·에너지트레이딩
지에스칼텍스	I01	에너지·유틸리티	I01-2	정유·연료·에너지트레이딩
지에스커넥트	I01	에너지·유틸리티	I01-1	전력·가스·환경유틸리티
아이비케이시스템	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
아이비케이투자증권	I16	금융 – 증권·자산운용·투자은행	I16-1	증권사·브로커리지·IB
케이비데이타시스템	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
케이비손해보험	I17	금융 – 보험	I17-2	손해보험·재보험·보험서비스
케이티기술혁신부문	I12	통신·케이블·네트워크·보안	I12-1	통신사업자(MNO/MVNO)·케이블·ISP
엘지에너지솔루션	I03	전기·전자·반도체·배터리	I03-2	반도체·반도체장비·배터리·전지소재
엘아이지넥스원	I05	기계·중공업·장비	I05-2	중공업·조선·방산·항공우주·중장비
나이스홀딩스	I18	금융 – 카드·캐피탈·핀테크·지주	I18-2	핀테크·PG·CB·금융지주·디지털자산·보증기관
에쓰오일	I01	에너지·유틸리티	I01-2	정유·연료·에너지트레이딩
네이버클라우드	I13	IT서비스·SI·클라우드·SW	I13-2	클라우드·MSP·데이터센터·SW/SaaS
대신증권	I16	금융 – 증권·자산운용·투자은행	I16-1	증권사·브로커리지·IB
메트라이프생명보험	I17	금융 – 보험	I17-1	생명보험
미래에셋증권	I16	금융 – 증권·자산운용·투자은행	I16-1	증권사·브로커리지·IB
바인그룹	I20	교육·출판·전문서비스·B2B·비영리	I20-2	회계·법률·컨설팅·연구·HR·BPO·시설관리·협회·NGO
비알코리아	I10	리테일·오프라인 유통·호텔·레저	I10-1	오프라인리테일·마트·편의점·전문점·프랜차이즈
비즈테크파트너스	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
삼성디스플레이	I03	전기·전자·반도체·배터리	I03-1	전자·가전·디스플레이·전자부품
삼성생명보험	I17	금융 – 보험	I17-1	생명보험
새마을금고중앙회	I15	금융 – 은행·저축은행	I15-2	저축은행·상호금융·협동조합 금융
신영	I04	자동차·모빌리티·부품·타이어	I04-2	자동차부품·타이어·모듈
신한금융지주	I18	금융 – 카드·캐피탈·핀테크·지주	I18-2	핀테크·PG·CB·금융지주·디지털자산·보증기관
신한금융투자	I16	금융 – 증권·자산운용·투자은행	I16-1	증권사·브로커리지·IB
신한저축은행	I15	금융 – 은행·저축은행	I15-2	저축은행·상호금융·협동조합 금융
신한캐피탈	I18	금융 – 카드·캐피탈·핀테크·지주	I18-1	카드·캐피탈·리스·할부·대부
아모레퍼시픽	I09	생활용품·화장품·패션·스포츠	I09-2	화장품·퍼스널케어·패션·스포츠·유아용품
에스에스지닷컴	I11	이커머스·플랫폼 커머스·O2O	I11-1	종합이커머스·마켓플레이스·D2C커머스
에이치디씨아이콘트롤스	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
엘에스메탈	I02	소재·화학·금속	I02-2	철강·비철금속·금속가공
웰컴저축은행	I15	금융 – 은행·저축은행	I15-2	저축은행·상호금융·협동조합 금융
일동제약	I19	헬스케어·제약·바이오·의료	I19-1	제약·바이오·진단·의료기기
태은물류	I07	물류·운송·해운·항공	I07-2	택배·3PL·창고·라스트마일 물류
푸르덴셜생명보험	I17	금융 – 보험	I17-1	생명보험
하나금융티아이	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
한국타이어앤테크놀로지	I04	자동차·모빌리티·부품·타이어	I04-2	자동차부품·타이어·모듈
한화토탈에너지스	I02	소재·화학·금속	I02-1	화학·섬유·첨단소재
에이케이홀딩스	I02	소재·화학·금속	I02-1	화학·섬유·첨단소재
지에스엠비즈	I10	리테일·오프라인 유통·호텔·레저	I10-1	오프라인리테일·마트·편의점·전문점·프랜차이즈
에이치엘만도	I04	자동차·모빌리티·부품·타이어	I04-2	자동차부품·타이어·모듈
케이티	I12	통신·케이블·네트워크·보안	I12-1	통신사업자(MNO/MVNO)·케이블·ISP
에스케이텔레콤	I12	통신·케이블·네트워크·보안	I12-1	통신사업자(MNO/MVNO)·케이블·ISP
롯데카드	I18	금융 – 카드·캐피탈·핀테크·지주	I18-1	카드·캐피탈·리스·할부·대부
브랜디	I11	이커머스·플랫폼 커머스·O2O	I11-1	종합이커머스·마켓플레이스·D2C커머스
에이치에스애드	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
한국엡손	I03	전기·전자·반도체·배터리	I03-1	전자·가전·디스플레이·전자부품
두산	I05	기계·중공업·장비	I05-1	일반기계·공작기계·산업설비
제일기획	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
에스비제이디엔엑스	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
한국무라타전자	I03	전기·전자·반도체·배터리	I03-1	전자·가전·디스플레이·전자부품
두산경영연구원	I20	교육·출판·전문서비스·B2B·비영리	I20-2	회계·법률·컨설팅·연구·HR·BPO·시설관리·협회·NGO
한화커넥트	I10	리테일·오프라인 유통·호텔·레저	I10-2	백화점·면세점·호텔·리조트·카지노·골프장
현대엘리베이터	I05	기계·중공업·장비	I05-1	일반기계·공작기계·산업설비
케이브이머티리얼즈	I03	전기·전자·반도체·배터리	I03-2	반도체·반도체장비·배터리·전지소재
부루벨코리아	I10	리테일·오프라인 유통·호텔·레저	I10-1	오프라인리테일·마트·편의점·전문점·프랜차이즈
하얏트	I10	리테일·오프라인 유통·호텔·레저	I10-2	백화점·면세점·호텔·리조트·카지노·골프장
오케이금융그룹	I18	금융 – 카드·캐피탈·핀테크·지주	I18-1	카드·캐피탈·리스·할부·대부
네이버웹툰	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-1	포털·검색·SNS·커뮤니티·웹툰·웹소설
엘지디스플레이	I03	전기·전자·반도체·배터리	I03-1	전자·가전·디스플레이·전자부품
한살림	I10	리테일·오프라인 유통·호텔·레저	I10-1	오프라인리테일·마트·편의점·전문점·프랜차이즈
한국능률협회컨설팅	I20	교육·출판·전문서비스·B2B·비영리	I20-2	회계·법률·컨설팅·연구·HR·BPO·시설관리·협회·NGO
세정	I09	생활용품·화장품·패션·스포츠	I09-2	화장품·퍼스널케어·패션·스포츠·유아용품
풀무원건강생활	I08	식품·음료·사료·푸드서비스	I08-1	식품·음료·주류 제조
파리크라상	I10	리테일·오프라인 유통·호텔·레저	I10-1	오프라인리테일·마트·편의점·전문점·프랜차이즈
한우리열린교육	I20	교육·출판·전문서비스·B2B·비영리	I20-1	교육·에듀테크·출판·교육콘텐츠
엘지헬로비전	I12	통신·케이블·네트워크·보안	I12-1	통신사업자(MNO/MVNO)·케이블·ISP
엘지생활건강	I09	생활용품·화장품·패션·스포츠	I09-2	화장품·퍼스널케어·패션·스포츠·유아용품
대교	I20	교육·출판·전문서비스·B2B·비영리	I20-1	교육·에듀테크·출판·교육콘텐츠
한국다이이찌산쿄	I19	헬스케어·제약·바이오·의료	I19-1	제약·바이오·진단·의료기기
한화저축은행	I15	금융 – 은행·저축은행	I15-2	저축은행·상호금융·협동조합 금융
아이엠데이터시스템	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
미래에셋자산운용	I16	금융 – 증권·자산운용·투자은행	I16-2	자산운용·사모·벤처투자·증권금융
삼구아이앤씨	I20	교육·출판·전문서비스·B2B·비영리	I20-2	회계·법률·컨설팅·연구·HR·BPO·시설관리·협회·NGO
샤넬코리아	I09	생활용품·화장품·패션·스포츠	I09-2	화장품·퍼스널케어·패션·스포츠·유아용품
삼정회계법인	I20	교육·출판·전문서비스·B2B·비영리	I20-2	회계·법률·컨설팅·연구·HR·BPO·시설관리·협회·NGO
포항세명기독병원	I19	헬스케어·제약·바이오·의료	I19-2	병원·의료기관·검진센터·디지털헬스케어
케이티아이에스	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
현대그룹	I05	기계·중공업·장비	I05-1	일반기계·공작기계·산업설비
에이치엘그룹	I04	자동차·모빌리티·부품·타이어	I04-2	자동차부품·타이어·모듈
오리온	I08	식품·음료·사료·푸드서비스	I08-1	식품·음료·주류 제조
인알파코리아	I04	자동차·모빌리티·부품·타이어	I04-2	자동차부품·타이어·모듈
신세계아이앤씨	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
엘에스	I05	기계·중공업·장비	I05-1	일반기계·공작기계·산업설비
세인트존스호텔	I10	리테일·오프라인 유통·호텔·레저	I10-2	백화점·면세점·호텔·리조트·카지노·골프장
에스씨케이컴퍼니	I10	리테일·오프라인 유통·호텔·레저	I10-1	오프라인리테일·마트·편의점·전문점·프랜차이즈
한영회계법인	I20	교육·출판·전문서비스·B2B·비영리	I20-2	회계·법률·컨설팅·연구·HR·BPO·시설관리·협회·NGO
동국제강	I02	소재·화학·금속	I02-2	철강·비철금속·금속가공
케이비생명보험	I17	금융 – 보험	I17-1	생명보험
카카오	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-1	포털·검색·SNS·커뮤니티·웹툰·웹소설
이네스트	I16	금융 – 증권·자산운용·투자은행	I16-2	자산운용·사모·벤처투자·증권금융
풀무원	I08	식품·음료·사료·푸드서비스	I08-1	식품·음료·주류 제조
제이비금융지주	I18	금융 – 카드·캐피탈·핀테크·지주	I18-2	핀테크·PG·CB·금융지주·디지털자산·보증기관
대구은행	I15	금융 – 은행·저축은행	I15-1	시중·지방·인터넷은행
엘엑스하우시스	I02	소재·화학·금속	I02-2	철강·비철금속·금속가공
하나머티리얼즈	I03	전기·전자·반도체·배터리	I03-2	반도체·반도체장비·배터리·전지소재
데브시스터즈	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
나이스평가정보	I18	금융 – 카드·캐피탈·핀테크·지주	I18-2	핀테크·PG·CB·금융지주·디지털자산·보증기관
넥스트엔터테인먼트월드	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
데상트코리아	I09	생활용품·화장품·패션·스포츠	I09-2	화장품·퍼스널케어·패션·스포츠·유아용품
현대홈쇼핑	I10	리테일·오프라인 유통·호텔·레저	I10-1	오프라인리테일·마트·편의점·전문점·프랜차이즈
남해화학	I02	소재·화학·금속	I02-1	화학·섬유·첨단소재
유니맥스	I03	전기·전자·반도체·배터리	I03-1	전자·가전·디스플레이·전자부품
케이에스한국고용정보	I20	교육·출판·전문서비스·B2B·비영리	I20-2	회계·법률·컨설팅·연구·HR·BPO·시설관리·협회·NGO
동화기업	I02	소재·화학·금속	I02-2	철강·비철금속·금속가공
삼화페인트공업	I02	소재·화학·금속	I02-1	화학·섬유·첨단소재
대한제분	I08	식품·음료·사료·푸드서비스	I08-1	식품·음료·주류 제조
신세계프라퍼티	I06	건설·엔지니어링·부동산	I06-2	부동산개발·신탁·엔지니어링·설계·프롭테크
씨제이올리브네트웍스	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
현대건설	I06	건설·엔지니어링·부동산	I06-1	건축·토목·플랜트 시공(EPC)
코히런트코리아	I03	전기·전자·반도체·배터리	I03-1	전자·가전·디스플레이·전자부품
구찌코리아	I09	생활용품·화장품·패션·스포츠	I09-2	화장품·퍼스널케어·패션·스포츠·유아용품
애경케미칼	I02	소재·화학·금속	I02-1	화학·섬유·첨단소재
에이치케이이노엔	I19	헬스케어·제약·바이오·의료	I19-1	제약·바이오·진단·의료기기
지에스	I01	에너지·유틸리티	I01-2	정유·연료·에너지트레이딩
법무법인율촌	I20	교육·출판·전문서비스·B2B·비영리	I20-2	회계·법률·컨설팅·연구·HR·BPO·시설관리·협회·NGO
한화솔루션	I02	소재·화학·금속	I02-1	화학·섬유·첨단소재
두산디지털이노베이션	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
원익홀딩스	I03	전기·전자·반도체·배터리	I03-2	반도체·반도체장비·배터리·전지소재
메가존클라우드	I13	IT서비스·SI·클라우드·SW	I13-2	클라우드·MSP·데이터센터·SW/SaaS
베스핀글로벌	I13	IT서비스·SI·클라우드·SW	I13-2	클라우드·MSP·데이터센터·SW/SaaS
우미건설	I06	건설·엔지니어링·부동산	I06-1	건축·토목·플랜트 시공(EPC)
디어포스	I02	소재·화학·금속	I02-1	화학·섬유·첨단소재
신세계	I10	리테일·오프라인 유통·호텔·레저	I10-2	백화점·면세점·호텔·리조트·카지노·골프장
엘에스엠트론	I05	기계·중공업·장비	I05-2	중공업·조선·방산·항공우주·중장비
농협	I15	금융 – 은행·저축은행	I15-2	저축은행·상호금융·협동조합 금융
엑심베이	I18	금융 – 카드·캐피탈·핀테크·지주	I18-2	핀테크·PG·CB·금융지주·디지털자산·보증기관
이건창호	I02	소재·화학·금속	I02-2	철강·비철금속·금속가공
씨제이제일제당	I08	식품·음료·사료·푸드서비스	I08-1	식품·음료·주류 제조
엘앤에프코리아	I03	전기·전자·반도체·배터리	I03-2	반도체·반도체장비·배터리·전지소재
우리카드	I18	금융 – 카드·캐피탈·핀테크·지주	I18-1	카드·캐피탈·리스·할부·대부
한살림사업연합	I10	리테일·오프라인 유통·호텔·레저	I10-1	오프라인리테일·마트·편의점·전문점·프랜차이즈
현대코퍼레이션	I01	에너지·유틸리티	I01-2	정유·연료·에너지트레이딩
파라다이스세가사미	I10	리테일·오프라인 유통·호텔·레저	I10-2	백화점·면세점·호텔·리조트·카지노·골프장
농심태경	I08	식품·음료·사료·푸드서비스	I08-1	식품·음료·주류 제조
해안종합건축사사무소	I06	건설·엔지니어링·부동산	I06-2	부동산개발·신탁·엔지니어링·설계·프롭테크
미래에셋캐피탈	I18	금융 – 카드·캐피탈·핀테크·지주	I18-1	카드·캐피탈·리스·할부·대부
종근당	I19	헬스케어·제약·바이오·의료	I19-1	제약·바이오·진단·의료기기
동서식품	I08	식품·음료·사료·푸드서비스	I08-1	식품·음료·주류 제조
효성티앤씨	I02	소재·화학·금속	I02-1	화학·섬유·첨단소재
에스케이해운	I07	물류·운송·해운·항공	I07-1	해운·항공·철도·대형운송
대상	I08	식품·음료·사료·푸드서비스	I08-1	식품·음료·주류 제조
씨제이	I08	식품·음료·사료·푸드서비스	I08-1	식품·음료·주류 제조
더테이스터블	I10	리테일·오프라인 유통·호텔·레저	I10-1	오프라인리테일·마트·편의점·전문점·프랜차이즈
삼성전기	I03	전기·전자·반도체·배터리	I03-1	전자·가전·디스플레이·전자부품
두잉씨앤에스	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
카라이프서비스	I10	리테일·오프라인 유통·호텔·레저	I10-1	오프라인리테일·마트·편의점·전문점·프랜차이즈
롯데지주	I10	리테일·오프라인 유통·호텔·레저	I10-1	오프라인리테일·마트·편의점·전문점·프랜차이즈
롯데건설	I06	건설·엔지니어링·부동산	I06-1	건축·토목·플랜트 시공(EPC)
삼성증권	I16	금융 – 증권·자산운용·투자은행	I16-1	증권사·브로커리지·IB
히어로손해사정	I17	금융 – 보험	I17-2	손해보험·재보험·보험서비스
한화육삼시티	I06	건설·엔지니어링·부동산	I06-2	부동산개발·신탁·엔지니어링·설계·프롭테크
한화로보틱스	I05	기계·중공업·장비	I05-1	일반기계·공작기계·산업설비
한화엔엑스엠디	I07	물류·운송·해운·항공	I07-2	택배·3PL·창고·라스트마일 물류
한화파워시스템	I05	기계·중공업·장비	I05-1	일반기계·공작기계·산업설비
한화호텔앤드리조트	I10	리테일·오프라인 유통·호텔·레저	I10-2	백화점·면세점·호텔·리조트·카지노·골프장
에이치디현대로보틱스	I05	기계·중공업·장비	I05-1	일반기계·공작기계·산업설비
에이치디현대마린솔루션	I05	기계·중공업·장비	I05-2	중공업·조선·방산·항공우주·중장비
에이치디현대미포	I05	기계·중공업·장비	I05-2	중공업·조선·방산·항공우주·중장비
에이치디현대이엔티	I06	건설·엔지니어링·부동산	I06-2	부동산개발·신탁·엔지니어링·설계·프롭테크
삼양인터내셔날	I09	생활용품·화장품·패션·스포츠	I09-2	화장품·퍼스널케어·패션·스포츠·유아용품
아크로스	I19	헬스케어·제약·바이오·의료	I19-1	제약·바이오·진단·의료기기
지에스동해전력	I01	에너지·유틸리티	I01-1	전력·가스·환경유틸리티
지에스바이오	I01	에너지·유틸리티	I01-2	정유·연료·에너지트레이딩
파르나스호텔	I10	리테일·오프라인 유통·호텔·레저	I10-2	백화점·면세점·호텔·리조트·카지노·골프장
농협생명보험	I17	금융 – 보험	I17-1	생명보험
농협손해보험	I17	금융 – 보험	I17-2	손해보험·재보험·보험서비스
더블유컨셉코리아	I11	이커머스·플랫폼 커머스·O2O	I11-1	종합이커머스·마켓플레이스·D2C커머스
신세계푸드	I08	식품·음료·사료·푸드서비스	I08-2	사료·식자재·급식·B2B푸드서비스
케이티샛	I12	통신·케이블·네트워크·보안	I12-1	통신사업자(MNO/MVNO)·케이블·ISP
케이티엠오에스북부	I12	통신·케이블·네트워크·보안	I12-2	네트워크·보안·통신장비·IDC
씨제이메조미디어	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
에스지생활안전	I09	생활용품·화장품·패션·스포츠	I09-1	생활용품·위생·홈케어·가구·리빙
한국공항	I07	물류·운송·해운·항공	I07-1	해운·항공·철도·대형운송
카카오벤처스	I16	금융 – 증권·자산운용·투자은행	I16-2	자산운용·사모·벤처투자·증권금융
카카오페이증권	I16	금융 – 증권·자산운용·투자은행	I16-1	증권사·브로커리지·IB
서울아레나	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
키즈노트	I20	교육·출판·전문서비스·B2B·비영리	I20-1	교육·에듀테크·출판·교육콘텐츠
예스코	I01	에너지·유틸리티	I01-1	전력·가스·환경유틸리티
이원	I05	기계·중공업·장비	I05-1	일반기계·공작기계·산업설비
엘에스머트리얼즈	I03	전기·전자·반도체·배터리	I03-2	반도체·반도체장비·배터리·전지소재
엘에스메카피온	I05	기계·중공업·장비	I05-1	일반기계·공작기계·산업설비
엘에스오토모티브테크놀로지스	I04	자동차·모빌리티·부품·타이어	I04-2	자동차부품·타이어·모듈
넷마블네오	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
넷마블엔투	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
비렉스테크	I19	헬스케어·제약·바이오·의료	I19-1	제약·바이오·진단·의료기기
에코프로머티리얼즈	I03	전기·전자·반도체·배터리	I03-2	반도체·반도체장비·배터리·전지소재
이랜드리테일	I10	리테일·오프라인 유통·호텔·레저	I10-2	백화점·면세점·호텔·리조트·카지노·골프장
한국네트웍스	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
티캐스트	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
이머니	I18	금융 – 카드·캐피탈·핀테크·지주	I18-2	핀테크·PG·CB·금융지주·디지털자산·보증기관
람다256	I18	금융 – 카드·캐피탈·핀테크·지주	I18-2	핀테크·PG·CB·금융지주·디지털자산·보증기관
삼천리이엔지	I06	건설·엔지니어링·부동산	I06-1	건축·토목·플랜트 시공(EPC)
동화	I02	소재·화학·금속	I02-1	화학·섬유·첨단소재
이데일리	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
지엠테크니컬센터코리아	I04	자동차·모빌리티·부품·타이어	I04-1	완성차·모빌리티 OEM
에이케이아이에스	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
동국시스템즈	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
인터지스	I07	물류·운송·해운·항공	I07-1	해운·항공·철도·대형운송
콘텐트리중앙	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
에스엘엘중앙	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
중앙일보	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
휘닉스중앙	I10	리테일·오프라인 유통·호텔·레저	I10-2	백화점·면세점·호텔·리조트·카지노·골프장
세아상역	I09	생활용품·화장품·패션·스포츠	I09-2	화장품·퍼스널케어·패션·스포츠·유아용품
티씨이	I03	전기·전자·반도체·배터리	I03-2	반도체·반도체장비·배터리·전지소재
유진로지스틱스	I07	물류·운송·해운·항공	I07-2	택배·3PL·창고·라스트마일 물류
비지에프에코머티리얼즈	I02	소재·화학·금속	I02-1	화학·섬유·첨단소재
대신정보통신	I13	IT서비스·SI·클라우드·SW	I13-1	SI·IT아웃소싱·금융/그룹IT·IT운영
농심엔지니어링	I06	건설·엔지니어링·부동산	I06-1	건축·토목·플랜트 시공(EPC)
한솔아이원스	I03	전기·전자·반도체·배터리	I03-2	반도체·반도체장비·배터리·전지소재
소노인터내셔널	I10	리테일·오프라인 유통·호텔·레저	I10-2	백화점·면세점·호텔·리조트·카지노·골프장
원익	I03	전기·전자·반도체·배터리	I03-2	반도체·반도체장비·배터리·전지소재
원익로보틱스	I05	기계·중공업·장비	I05-1	일반기계·공작기계·산업설비
파라다이스호텔부산	I10	리테일·오프라인 유통·호텔·레저	I10-2	백화점·면세점·호텔·리조트·카지노·골프장
엠비씨씨앤아이	I14	인터넷·포털·디지털콘텐츠·게임·엔터·미디어·광고	I14-2	게임·OTT·엔터·방송·신문·광고·디지털콘텐츠
두산로보틱스	I05	기계·중공업·장비	I05-1	일반기계·공작기계·산업설비
대우에스티	I02	소재·화학·금속	I02-2	철강·비철금속·금속가공
